material_and_condition,Y_oxygenate,T,x_P,w_r_s,w_r_p,w_r_d,w_r_val,w_e_H,w_e_L,w_EA,w_IP,w_EN
0,0,200,0.325,1.226725,1.39373,0.9799575,0.8352675,-4.69721621130079,-1.54466423727389,-0.832582053690087,8.99350328987273,4.08046061809132
1,0,400,0.325,1.226725,1.39373,0.9799575,0.8352675,-4.69721621130079,-1.54466423727389,-0.832582053690087,8.99350328987273,4.08046061809132
2,0,200,0.55,1.09825,1.25117,1.120875,0.876015,-4.92076945945899,0.41431849658653,-1.09052656570991,9.19559073788615,4.05253208608812
3,0,400,0.55,1.09825,1.25117,1.120875,0.876015,-4.92076945945899,0.41431849658653,-1.09052656570991,9.19559073788615,4.05253208608812
4,0,400,0.55,1.09825,1.25117,1.120875,0.876015,-4.92076945945899,0.41431849658653,-1.09052656570991,9.19559073788615,4.05253208608812
5,0,400,0.55,1.09825,1.25117,1.120875,0.876015,-4.92076945945899,0.41431849658653,-1.09052656570991,9.19559073788615,4.05253208608812
6,0,200,0.6,1.066175,1.22239,1.15936,0.89224,-5.01537495867956,0.8047209933701,-1.12196949860199,9.29762492419472,4.08782771279636
7,0,400,0.6,1.0697,1.21949,1.15219,0.88507,-4.9704479590497,0.849647992999957,-1.14784756838099,9.24049905966692,4.04632574564296
8,0,380,0.6,1.0697,1.21949,1.15219,0.88507,-4.9704479590497,0.849647992999957,-1.14784756838099,9.24049905966692,4.04632574564296
9,0,400,0.6,1.0697,1.21949,1.15219,0.88507,-4.9704479590497,0.849647992999957,-1.14784756838099,9.24049905966692,4.04632574564296
10,0,400,0.7,1.0126,1.15613,1.21482,0.90318,-5.06980495823112,1.72030698582681,-1.26248957372313,9.33031570322844,4.03391306475265
11,0,350,0.35,1.230075,1.36339,0.959765,0.803945,-4.49742046294686,-1.10236449091789,-0.9906329039206,8.7303281281241,3.86984761210175
12,0,400,0.35,1.230075,1.36339,0.959765,0.803945,-4.49742046294686,-1.10236449091789,-0.9906329039206,8.7303281281241,3.86984761210175
13,0,350,0.3,1.258625,1.39507,0.92845,0.79489,-4.44774196335615,-1.53769398733132,-0.933311901249528,8.68541980634334,3.87605395254691
14,0,400,0.3,1.258625,1.39507,0.92845,0.79489,-4.44774196335615,-1.53769398733132,-0.933311901249528,8.68541980634334,3.87605395254691
15,0,200,0.3,1.258625,1.39507,0.92845,0.79489,-4.44774196335615,-1.53769398733132,-0.933311901249528,8.68541980634334,3.87605395254691
16,0,200,0.05,1.380225,1.57087,0.814895,0.792635,-4.46891146318174,-3.9839034671776,-0.491438469220192,8.80363338460635,4.15609745769308
