material,bg_hse06 (eV),bg_pbesol (eV),r_s (AA),r_val (AA),e_H (eV),e_L (eV),AN,IP (eV),EA (eV),r_cov (AA),EN (Pauling),N_val,N_unf,max_OS,stdev_OS,lat_a (AA),lat_b (AA),lat_c (AA),std_charge,min_dist (AA),cbm (eV),vbm (eV),e_fermi (eV),skew_dos,kurt_dos
TiNi3,0.07183779,0.04028783,1.415525,0.391125,-4.00392250264089,0.944440000622929,26.5,7.4369385,0.88675715,1.33,1.8175,8.5,3.5,0,0,5.03164794693635,5.03164795193623,8.20337538,0.179491726432744,2.5474904,-8.64550172,-8.68578955,-8.68133018,2.26013954428805,5.09758344169023
Cs4FeO3,2.20374989,0.61024329,1.5879125,1.4663,-6.4047337542244,0.529895000349506,33.75,8.041532001215,0.802884155,1.6325,1.91375,3.75,1.75,2,2.05195670417031,6.93864089448047,6.99490060614579,9.79029740146265,0.411648023758395,1.82898767,-5.14512423,-5.75536752,-5.45024588,2.34887784247744,9.86603554300029
Ag(H2N)6,1.53152732,0.81860745,0.569007894736842,0.562471052631579,-8.86701158479583,-0.132524210613725,5.31578947368421,13.5769594313907,0.523139421052632,0.496315789473684,2.45105263157895,2.78947368421053,1.63157894736842,2,2.48997991959775,8.80197190446227,10.0942343124726,11.4841654068042,0.154589934033371,0.84657828,-4.51506594,-5.33367339,-4.92436967,4.77705377955851,38.9818206999971
K4Br2O,2.05542648,0.89400372,1.52823571428571,1.56037857142857,-5.89562571817432,1.58079000104265,22,7.80118998857143,1.45630263142857,1.59714285714286,1.80571428571429,6.28571428571429,1.14285714285714,1,1.58113883008419,9.01198047384503,9.01198138558373,9.01166448404692,0.355897904193528,2.5666431,-4.40594385,-5.29994757,-4.85294571,12.6362545506225,216.698733649363
LaV3O9,4.04566264,2.49428115,0.824319230769231,0.499996153846154,-9.78320923722199,1.92951923204189,15.2307692307692,11.4136889230769,1.17619076153846,0.969230769230769,2.84230769230769,5.53846153846154,3.69230769230769,5,4.47213595499958,4.93632685204507,9.46599381000003,7.42532484339975,0.40108199409582,1.63002026,-6.59325207,-9.08753322,-7.84039264,3.15652464452985,20.4260418914374
MgSbO3,2.93210159,1.78515459,0.74751,0.77415,-9.60068200633237,1.23676400081574,17.4,11.421758,1.002143418,0.956,2.736,7,1.8,0,0,5.58799736001782,5.58844153861199,5.58828780039853,0.434960542362845,1.99304883,-4.63616344,-6.42131804,-5.52874074,1.59172388837292,3.77220540706006
FeS2,2.0993128,0.91855192,0.917116666666667,0.686283333333333,-7.58194333833419,2.85927666855257,19.3333333333333,9.54082936666667,1.43581512133333,1.14,2.33,6.66666666666667,2.66666666666667,3,2.64575131106459,4.37271305,5.33807777,3.3462756,0.095543114518324,2.21214345,-5.67131316,-6.58986508,-6.13058912,1.49411976134588,6.90806699679877
Al4CO4,5.16882137,3.82027343,0.767883333333333,0.895327777777778,-10.3646822290585,0.392714444703469,10,9.96395377777778,0.981986090222222,0.915555555555556,2.52777777777778,4.44444444444445,3.55555555555556,3,3.57071421427143,5.16256609058749,5.16256609058749,9.1362482,0.396641281892146,1.71556887,-4.560914,-8.38118743,-6.47105072,1.10439939080575,2.18325266988453
Li6Si2O7,6.56682011,4.82452038,0.98675,0.99827,-8.48814267226523,0.868218000572655,6.8,9.5986689984,1.114338332,0.968,2.25066666666667,3.73333333333333,1.86666666666667,4,2.69803850319188,7.74302373,7.74303062,4.837215,0.318823749368495,1.6184359,-5.0667464,-9.89126677,-7.47900659,1.42742270737015,3.16749284397787
VAs2,0.06397664,0.01813664,1.08015,0.855416666666667,-5.89202000388623,-2.42991333493604,29.6666666666667,8.774429,0.712434,1.30333333333333,1.99666666666667,11.6666666666667,4.33333333333333,5,4.35889894354067,4.78294482428542,4.78294481493899,7.40659588452393,0.027820171381505,2.3893201,-6.48358784,-6.50172449,-6.48397606,0.582209967968045,0.929590931375202
NbBr3O,2.98337016,1.96297209,0.86523,0.77151,-8.94420800589937,4.09813200270303,30.8,11.163667,2.49385544,1.18,2.784,12.4,2.4,5,3.38061701891407,11.8374568700025,11.8373708600025,3.90809890000489,0.352508141301452,1.74309971,-5.19766392,-7.16063601,-6.17914997,2.0985554292716,9.38311187531167
Ca(AlH4)2,5.49918784,4.09389382,0.746640909090909,0.804077272727273,-8.11608545989862,0.631391818598268,4.90909090909091,11.5338336606924,0.629727727272727,0.605454545454546,1.98363636363636,1.45454545454545,1.63636363636364,3,2.51915736827889,8.71035137000001,12.98164806,9.34080679,0.213346954195333,1.59759291,-4.17727676,-8.27117058,-6.22422367,0.804831089922476,-0.042869714322274
Y3ReO8,2.84119567,1.76124462,0.863525,0.587633333333333,-9.61028167300536,1.69878166778714,21.3333333333333,11.2858116666667,1.0558832525,1.04083333333333,2.75666666666667,6.5,4,7,4.30282299360382,7.15718912291923,5.97565078000019,14.3206938618739,0.450531042746192,1.83019965,-7.27924112,-9.04048574,-8.9988414,0.987472346933316,0.572224699932449
