material,bulk_modulus (eV/AA^3),r_sA,r_sB,r_valA,r_valB,r_s_catA,r_s_catB,r_val_catA,r_val_catB,e_hA,e_hB,e_lA,e_lB,ZA,ZB,IPA,IPB,EAA,EAB,ENA,ENB,oxA,oxB,A,B1,B2,A_atomic_stiffness,B_atomic_stiffness
Ca2SnVO6,1.1175,1.80815,1.29715,1.80815,0.9199,1.65875,1.24315,1.65875,0.8845,-3.94208,-7.32311,-0.93507,-1.81159,20,36.5,6.11316,7.04505,0.02455,0.81987,1,1.795,2,4,Ca,Sn,V,4.44,11.895
Y2SnTcO6,1.19614,1.78395,1.2519,0.95895,1.01505,1.63185,1.2089,1.63185,0.9796,-3.97745,-7.35908,-1.37282,-2.78395,39,46.5,6.21726,7.23165,0.30712,0.83204,1.22,1.93,3,3,Y,Sn,Tc,8.42,18.08
Ba2BiTiO6,0.8836,2.20615,1.29795,2.20615,0.91865,2.07185,1.2384,2.07185,0.88775,-3.35828,-5.04115,-1.33494,-2.09409,56,52.5,5.21166,7.05682,0.14463,0.50895,0.89,1.78,2,4,Ba,Bi,Ti,3.58,10.61
Na2CrRhO6,1.16858,1.74615,1.4769,1.74615,0.5271,0.32095,1.3559,0.28665,0.5209,-3.18997,-4.7777,-0.88318,-1.89695,11,34.5,5.13908,7.11271,0.54793,0.90937,0.93,1.97,1,5,Na,Cr,Rh,1.82,20.83
Ce2BiNbO6,0.94171,2.07805,1.3033,1.35245,1.0419,1.91635,1.26735,0.38175,1.01145,-3.34104,-5.20919,-1.39487,-2.09382,58,62,5.5386,7.02218,0.572,0.92988,1.12,1.81,3,3,Ce,Bi,Nb,4.78,14.435
Ba2BiTaO6,0.86932,2.20615,1.22815,2.20615,1.06485,2.07185,1.1905,2.07185,1.03605,-3.35828,-5.35897,-1.33494,-2.26752,56,78,5.21166,7.41754,0.14463,0.63274,0.89,1.76,2,4,Ba,Bi,Ta,3.58,15.595
Y2MoTiO6,1.31864,1.78395,1.5704,0.95895,0.63555,1.63185,1.48615,1.63185,0.62205,-3.97745,-4.59333,-1.37282,-1.24515,39,32,6.21726,6.96028,0.30712,0.41144,1.22,1.85,3,3,Y,Mo,Ti,8.42,19.14
Pr2PbPtO6,0.86195,2.02475,1.19165,0.36565,1.0414,1.89375,1.12805,0.36655,0.999,-3.26203,-8.6139,-1.05666,-3.18643,59,80,5.4702,8.18775,0.10923,1.24091,1.13,2.305,4,2,Pr,Pb,Pt,6.38,16.38
Sm2AgTaO6,0.93351,1.99935,1.3965,0.32485,1.0841,1.80355,1.33215,0.32345,0.68455,-3.31902,-5.00165,-0.57557,-2.47472,62,60,5.64371,7.5629,0.162,0.8138,1.17,1.715,3,3,Sm,Ag,Ta,8.06,16.065
Ba2RuTiO6,1.16024,2.20615,1.5187,2.20615,0.59155,2.07185,1.4378,2.07185,0.58135,-3.35828,-4.67927,-1.33494,-2.02585,56,33,5.21166,7.09431,0.14463,0.56096,0.89,1.87,2,4,Ba,Ru,Ti,3.58,19.56
Ca2PbTaO6,0.85149,1.80815,1.2535,1.80815,1.1228,1.65875,1.2138,1.65875,1.0787,-3.94208,-8.44061,-0.93507,-1.98349,20,77.5,6.11316,7.48313,0.02455,0.33992,1,1.915,2,4,Ca,Pb,Ta,4.44,15.36
Nd2GaTaO6,1.22331,2.00295,1.23565,0.35015,1.10325,1.89905,1.1849,0.34865,0.89865,-3.25222,-7.03687,-1.29622,-1.69532,60,52,5.525,6.77444,0.09749,0.31216,1.14,1.655,2,4,Nd,Ga,Ta,6.83,14.265
La2CoCuO6,1.24091,2.03235,1.22845,1.19775,0.78,1.88385,1.18145,1.88385,0.33875,-3.5912,-5.48098,-1.49016,-1.70087,57,28,5.5769,7.8037,0.55755,0.94902,1.1,1.89,3,3,La,Co,Cu,6.56,12.615
Ca2MnVO6,1.30914,1.80815,1.41935,1.80815,0.44165,1.65875,1.33785,1.65875,0.43995,-3.94208,-4.49955,-0.93507,-1.28427,20,24,6.11316,7.09011,0.02455,0.00383,1,1.59,2,4,Ca,Mn,V,4.44,17.35
Y2CdPbO6,0.89798,1.78395,1.14505,0.95895,1.32675,1.63185,1.10755,1.63185,1.2587,-3.97745,-8.95663,-1.37282,-1.41952,39,65,6.21726,8.20525,0.30712,-0.18164,1.22,2.01,3,3,Y,Cd,Pb,8.42,7.515
Cs2FeTiO6,0.9737,2.51755,1.4293,2.51755,0.45915,0.81755,1.3361,0.94155,0.4513,-2.29006,-4.78295,-1.22595,-1.11283,55,24,3.89391,7.36529,0.47163,0.11439,0.79,1.685,1,5,Cs,Fe,Ti,1.43,12.645
Pr2PbPdO6,0.92176,2.02475,1.26355,0.36565,0.99505,1.89375,1.16715,0.36655,0.9539,-3.26203,-8.4798,-1.05666,-2.4801,59,64,5.4702,7.87676,0.10923,0.45943,1.13,2.265,4,2,Pr,Pb,Pd,6.38,13.065
Sm2WZnO6,1.10236,1.99935,1.2703,0.32485,0.9553,1.80355,1.2184,0.32345,0.91965,-3.31902,-5.62161,-0.57557,-1.17298,62,52,5.64371,8.62911,0.162,0.09813,1.17,2.005,2,4,Sm,W,Zn,8.06,19.025
Be2PbRhO6,0.92524,1.08065,1.274,1.08065,1.01045,1.00365,1.18675,1.00365,0.9686,-6.07034,-8.38887,-1.4731,-2.51638,4,63.5,9.3227,7.43779,-0.52,0.74981,1.57,2.305,2,4,Be,Pb,Rh,6.02,15.47
Ca2MnPdO6,1.08699,1.80815,1.3995,1.80815,0.4905,1.65875,1.2706,1.65875,0.4865,-3.94208,-4.86903,-0.93507,-2.04277,20,35.5,6.11316,7.88544,0.02455,0.02107,1,1.875,2,4,Ca,Mn,Pd,4.44,18.675
Y2TiWO6,1.33031,1.78395,1.5139,0.95895,0.6705,1.63185,1.43745,1.63185,0.65625,-3.97745,-4.58639,-1.37282,-1.63578,39,48,6.21726,7.34608,0.30712,0.44591,1.22,1.95,3,3,Y,Ti,W,8.42,21.51
Be2FeRhO6,1.26546,1.08065,1.38,1.08065,0.493,1.00365,1.26115,1.00365,0.4895,-6.07034,-5.04902,-1.4731,-1.81915,4,35.5,9.3227,7.68068,-0.52,0.64806,1.57,2.055,2,4,Be,Fe,Rh,6.02,17.74
Be2GaRuO6,1.21004,1.08065,1.2242,1.08065,1.00545,1.00365,1.17945,1.00365,0.80545,-6.07034,-7.0433,-1.4731,-2.20395,4,37.5,9.3227,6.6799,-0.52,0.67379,1.57,2.005,2,4,Be,Ga,Ru,6.02,16.58
Mg2PdRhO6,1.07748,1.35285,1.4909,1.35285,0.59545,1.26075,1.32165,1.26075,0.58795,-5.04225,-4.97811,-0.77042,-2.72015,12,45.5,7.64624,7.89787,-0.42,0.85252,1.31,2.24,2,4,Mg,Pd,Rh,5.26,20.045
Sm2CrPdO6,1.14623,1.99935,1.46645,0.32485,0.5117,1.80355,1.3363,0.32345,0.5062,-3.31902,-4.86864,-0.57557,-1.86066,62,35,5.64371,7.55167,0.162,0.61899,1.17,1.93,3,3,Sm,Cr,Pd,8.06,18.425
La2MnZnO6,1.21957,2.03235,1.21565,1.19775,0.75685,1.88385,1.1461,1.88385,0.7264,-3.5912,-5.54724,-1.49016,-0.90994,57,27.5,5.5769,8.41412,0.55755,-0.57,1.1,1.6,3,3,La,Mn,Zn,6.56,13.5
Rb2MoTiO6,1.10365,2.29415,1.5704,2.29415,0.63555,0.66735,1.48615,0.75565,0.62205,-2.49875,-4.59333,-1.23792,-1.24515,37,32,4.17713,6.96028,0.48592,0.41144,0.82,1.85,1,5,Rb,Mo,Ti,1.69,19.14
