A_r_s (AA),A_r_val (AA),A_Z (elem_charge),A_eps_H (eV),A_eps_L (eV),A_EA (eV),A_IP (eV),A_EN (eV),B_r_s (AA),B_r_val (AA),B_Z (elem_charge),B_eps_H (eV),B_eps_L (eV),B_EA (eV),B_IP (eV),B_EN (eV),bulk_modulus (eV/AA^3)
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.31705,1.31705,47,-4.37849,-4.37849,-1.18206,7.87468,3.34631,0.72331
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.10775,1.39955,13,-2.5457,-2.5457,0.34112,5.72681,3.03397,0.9555
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,0.98985,1.30035,83,-4.52189,-4.52189,-1.38734,7.92764,3.27015,0.74416
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.23185,1.23185,48,-5.66953,-0.80208,1.48287,9.31714,5.40001,0.63503
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.29155,0.35895,27,-4.41285,-4.41285,-1.07005,7.65851,3.29423,1.06664
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.42455,0.43935,24,-4.42489,-4.42489,-0.50366,7.30854,3.40244,1.22133
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.19885,1.19885,29,-4.57534,-4.57534,-1.23469,8.33298,3.54914,0.86298
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.33295,0.38215,26,-4.40061,-4.40061,-0.99752,7.47177,3.23713,1.12994
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.00335,1.33975,31,-2.42899,-2.42899,0.45021,5.6727,3.06146,0.86178
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,0.92235,1.17105,32,-3.82445,-3.82445,-0.57045,7.44895,3.43925,1.01969
2.19055,2.19055,56,-3.21433,-1.89674,1.09425,5.36251,3.22838,1.36815,0.40825,25,-4.37896,-4.37896,-0.57504,7.39822,3.41159,1.20156
