"V1","V2","V3","V4","V5","V6","V7"
-2.3,0.568,4.78,3.99,3.17,0.125,-2.20727491318972
-2.3,0.568,4.78,3.99,3.17,0.15,-1.30933331998376
-2.3,0.568,4.78,3.99,3.17,0.175,-0.755022584278033
-2.3,0.568,4.78,3.99,3.17,0.2,-0.2484613592985
-2.3,0.568,4.78,3.99,3.17,0.225,0.165514438477573
-2.3,0.568,4.78,3.99,3.17,0.25,0.598836501088704
-2.3,0.568,4.78,3.99,3.17,0.275,0.959350221334602
-2.3,0.568,4.78,3.99,3.17,0.3,1.3244189574018
-2.3,0.568,4.78,3.99,3.17,0.325,1.60743590976343
-2.3,0.568,4.78,3.99,3.17,0.35,1.96850998097255
-2.3,0.568,4.78,3.99,3.17,0.375,2.47905623610982
-2.3,0.568,4.78,3.99,3.17,0.4,3.00121720378456
-2.3,0.568,4.78,3.99,3.17,0.425,3.48890296208126
-2.3,0.568,4.78,3.99,3.17,0.45,3.90177062896379
-2.3,0.569,4.78,3.04,3.64,0.125,-3.2188758248682
-2.3,0.569,4.78,3.04,3.64,0.15,-1.77195684193188
-2.3,0.569,4.78,3.04,3.64,0.175,-0.994252273343867
-2.3,0.569,4.78,3.04,3.64,0.2,-0.415515443961666
-2.3,0.569,4.78,3.04,3.64,0.225,0.0582689081239758
-2.3,0.569,4.78,3.04,3.64,0.25,0.46373401623214
-2.3,0.569,4.78,3.04,3.64,0.275,0.845868267577609
-2.3,0.569,4.78,3.04,3.64,0.3,1.19088756477728
-2.3,0.569,4.78,3.04,3.64,0.325,1.52822785700856
-2.3,0.569,4.78,3.04,3.64,0.35,1.96150224381515
-2.3,0.569,4.78,3.04,3.64,0.375,2.48407296903942
-2.3,0.569,4.78,3.04,3.64,0.4,3.04879899449068
-2.3,0.569,4.78,3.04,3.64,0.425,3.55563373496657
-2.3,0.569,4.78,3.04,3.64,0.45,3.94739014926544
-2.3,0.565,4.78,5.35,2.76,0.125,-2.40794560865187
-2.3,0.565,4.78,5.35,2.76,0.15,-1.23787435600162
-2.3,0.565,4.78,5.35,2.76,0.175,-0.579818495252942
-2.3,0.565,4.78,5.35,2.76,0.2,-0.150822889734584
-2.3,0.565,4.78,5.35,2.76,0.225,0.27002713721306
-2.3,0.565,4.78,5.35,2.76,0.25,0.688134638736401
-2.3,0.565,4.78,5.35,2.76,0.275,1.07840958135059
-2.3,0.565,4.78,5.35,2.76,0.3,1.43746264769429
-2.3,0.565,4.78,5.35,2.76,0.325,1.71199450075919
-2.3,0.565,4.78,5.35,2.76,0.35,2.11021320034659
-2.3,0.565,4.78,5.35,2.76,0.375,2.57108434602905
-2.3,0.565,4.78,5.35,2.76,0.4,3.06339092202781
-2.3,0.565,4.78,5.35,2.76,0.425,3.50074101199842
-2.3,0.565,4.78,5.35,2.76,0.45,3.91481909273015
-2.3,0.564,5.1,3.95,3.53,0.125,-1.6094379124341
-2.3,0.564,5.1,3.95,3.53,0.15,-1.04982212449868
-2.3,0.564,5.1,3.95,3.53,0.175,-0.430782916092454
